,Ret_time,ticker,pos,neu,neg,ret
233,1/29/21,GME,0,0.769,0.231,0.432867892
234,1/29/21,AMC,0,0.769,0.231,0.194490899
235,1/29/21,RH,0,0.576,0.424,0.025369432
236,1/29/21,GME,0,0.871,0.129,0.432867892
237,1/29/21,REAL,0.335,0.665,0,0.075536493
238,1/29/21,GME,0.263,0.737,0,0.432867892
239,1/29/21,AMC,0,1,0,0.194490899
240,1/29/21,NOK,0,1,0,-0.009652451
241,1/29/21,NOK,0,1,0,-0.009652451
242,1/29/21,BB,0,0.566,0.434,-0.076527983
243,1/29/21,GME,0.263,0.737,0,0.432867892
244,1/29/21,APP,0,0.826,0.174,
245,1/29/21,TD,0,0.826,0.174,0.003505612
246,1/29/21,GME,0,1,0,0.432867892
247,1/29/21,RH,0,0.5,0.5,0.025369432
248,1/29/21,GME,0,1,0,0.432867892
249,1/29/21,NOK,0,1,0,-0.009652451
250,1/29/21,REAL,0.335,0.665,0,0.075536493
251,1/29/21,AAL,0,1,0,-0.080668932
252,1/29/21,RH,0,1,0,0.025369432
253,1/29/21,GME,0,1,0,0.432867892
254,1/29/21,RH,0,1,0,0.025369432
255,1/29/21,GME,0.374,0.626,0,0.432867892
256,1/29/21,GME,0.119,0.881,0,0.432867892
257,1/29/21,BB,0,0.716,0.284,-0.076527983
258,1/29/21,GME,0,1,0,0.432867892
259,1/29/21,AMC,0,1,0,0.194490899
260,1/29/21,GME,0,1,0,0.432867892
261,1/29/21,RH,0,0.503,0.497,0.025369432
262,1/29/21,GME,0,0.503,0.497,0.432867892
263,1/29/21,AMC,0.121,0.833,0.046,0.194490899
264,1/29/21,RH,0,1,0,0.025369432
265,1/29/21,RH,0,1,0,0.025369432
266,1/29/21,GME,0.167,0.833,0,0.432867892
267,1/29/21,NOK,0.119,0.881,0,-0.009652451
268,1/29/21,GME,0.117,0.883,0,0.432867892
269,1/29/21,TD,0.113,0.887,0,0.003505612
270,1/29/21,NOK,0,1,0,-0.009652451
271,1/29/21,GME,0,1,0,0.432867892
272,1/29/21,GME,0,0.49,0.51,0.432867892
273,1/29/21,GME,0,0.733,0.267,0.432867892
274,1/29/21,RH,0.045,0.955,0,0.025369432
275,1/29/21,SNDL,0.045,0.955,0,-0.131523994
276,1/29/21,AMC,0,1,0,0.194490899
277,1/29/21,NOK,0,1,0,-0.009652451
278,1/29/21,BB,0.15,0.85,0,-0.076527983
279,1/29/21,NOK,0.15,0.85,0,-0.009652451
280,1/29/21,GME,0.15,0.85,0,0.432867892
281,1/29/21,AMC,0.15,0.85,0,0.194490899
282,1/29/21,RH,0.19,0.667,0.143,0.025369432
283,1/29/21,RH,0,0.726,0.274,0.025369432
284,1/29/21,GME,0.152,0.716,0.132,0.432867892
285,1/29/21,SNDL,0,1,0,-0.131523994
286,1/29/21,AMC,0,1,0,0.194490899
287,1/29/21,GME,0,1,0,0.432867892
288,1/29/21,BB,0,1,0,-0.076527983
289,1/29/21,NOK,0,1,0,-0.009652451
290,1/29/21,GME,0,1,0,0.432867892
291,1/29/21,AMC,0,1,0,0.194490899
292,1/29/21,AMC,0,0.781,0.219,0.194490899
293,1/29/21,GME,0,1,0,0.432867892
294,1/29/21,AMC,0,1,0,0.194490899
295,1/29/21,AMC,0,0.571,0.429,0.194490899
296,1/29/21,NOK,0,1,0,-0.009652451
297,1/29/21,SNDL,0.705,0.295,0,-0.131523994
298,1/29/21,BB,0,1,0,-0.076527983
299,1/29/21,RH,0,1,0,0.025369432
300,1/29/21,NOK,0,1,0,-0.009652451
301,1/29/21,RH,0.324,0.676,0,0.025369432
302,1/29/21,GME,0,1,0,0.432867892
303,1/29/21,RH,0,1,0,0.025369432
304,1/29/21,NOK,0,1,0,-0.009652451
305,1/29/21,AMC,0,1,0,0.194490899
306,1/29/21,RH,0.202,0.577,0.221,0.025369432
307,1/29/21,TD,0,0.893,0.107,0.003505612
308,1/29/21,GME,0,1,0,0.432867892
309,1/29/21,NOK,0.084,0.916,0,-0.009652451
310,1/29/21,AMC,0.084,0.916,0,0.194490899
311,1/29/21,GME,0,0.762,0.238,0.432867892
312,1/29/21,GME,0,0.792,0.208,0.432867892
313,1/29/21,AMC,0,0.792,0.208,0.194490899
314,1/29/21,AMC,0,1,0,0.194490899
315,1/29/21,GME,0.253,0.747,0,0.432867892
316,1/29/21,RH,0.293,0.558,0.149,0.025369432
317,1/29/21,AMC,0.293,0.558,0.149,0.194490899
318,1/29/21,GME,0,1,0,0.432867892
319,1/29/21,AMC,0,1,0,0.194490899
320,1/29/21,GME,0,0.694,0.306,0.432867892
321,1/29/21,SNDL,0,1,0,-0.131523994
322,1/29/21,NOK,0,0.667,0.333,-0.009652451
323,1/29/21,GME,0,0.667,0.333,0.432867892
324,1/29/21,GME,0,0.86,0.14,0.432867892
325,1/29/21,APP,0,1,0,
326,1/29/21,RH,0,0.893,0.107,0.025369432
327,1/29/21,GME,0,1,0,0.432867892
328,1/29/21,AMC,0,1,0,0.194490899
329,1/29/21,GME,0.051,0.949,0,0.432867892
330,1/29/21,GME,0,0.732,0.268,0.432867892
331,1/29/21,RH,0,1,0,0.025369432
332,1/29/21,GME,0,0.694,0.306,0.432867892
333,1/29/21,GME,0,1,0,0.432867892
334,1/29/21,AMC,0,1,0,0.194490899
335,1/29/21,GME,0.121,0.731,0.148,0.432867892
336,1/29/21,NOK,0,1,0,-0.009652451
337,1/29/21,AMC,0,1,0,0.194490899
338,1/29/21,AMC,0,1,0,0.194490899
339,1/29/21,GME,0,1,0,0.432867892
340,1/29/21,RH,0,1,0,0.025369432
341,1/29/21,APP,0,1,0,
