,neg,neu,pos,compound,label
742,0.322,0.678,0,-0.2263,Negative
743,0,0.714,0.286,0.25,Positive
744,0,1,0,0,Neutral
745,0,1,0,0,Neutral
746,0,0.625,0.375,0.34,Positive
747,0,1,0,0,Neutral
748,0,1,0,0,Neutral
749,0.463,0.537,0,-0.5122,Negative
750,0.167,0.833,0,-0.0516,Negative
751,0,0.838,0.162,0.2342,Positive
752,0,1,0,0,Neutral
753,0.228,0.648,0.124,-0.2311,Negative
754,0,1,0,0,Neutral
755,0,1,0,0,Neutral
756,0,1,0,0,Neutral
757,0.299,0.361,0.34,0.0595,Positive
758,0,0.732,0.268,0.296,Positive
759,0,1,0,0,Neutral
760,0,1,0,0,Neutral
